Código Cliente,Ano,Trimestre,Mês,Dia,Loja,Produto,SKU,Tamanho Pedido
284,2016,Trim 3,setembro,21,Rio de Janeiro,Smart TV LED Full HD 55',HL1008,1
15,2016,Trim 3,setembro,21,Salvador,Apple Watch,HL1004,1
31,2016,Trim 3,setembro,21,Salvador,Samsung Dual Core,HL1023,2
54,2016,Trim 3,setembro,21,Salvador,Smart TV 50' 4K,HL1001,4
797,2016,Trim 3,setembro,21,São Paulo,Câmera Digital Rebel T6,HL1005,2
50,2016,Trim 3,setembro,21,São Paulo,Moto G7,HL1009,5
665,2016,Trim 3,setembro,21,São Paulo,Smart TV 50' 4K,HL1001,5
1148,2016,Trim 3,setembro,22,Belo Horizonte,Galaxy S8,HL1021,2
639,2016,Trim 3,setembro,22,Campinas,Câmera Coolpix L340,HL1013,3
663,2016,Trim 3,setembro,22,Campinas,iPhone XS,HL1019,5
640,2016,Trim 3,setembro,22,Campinas,Moto G7,HL1009,3
178,2016,Trim 3,setembro,22,Curitiba,Câmera Digital Rebel T6,HL1005,1
95,2016,Trim 3,setembro,22,Curitiba,Galaxy J8,HL1014,3
744,2016,Trim 3,setembro,22,Curitiba,Samsung Dual Core,HL1023,9
93,2016,Trim 3,setembro,22,Curitiba,TV LED 32',HL1006,2
687,2016,Trim 3,setembro,22,Fortaleza,Câmera Digital Rebel T6,HL1005,5
501,2016,Trim 3,setembro,22,Guarulhos,Smart TV 50' 4K,HL1001,5
35,2016,Trim 3,setembro,22,Niterói,Câmera Digital Sony Cyber,HL1015,4
490,2016,Trim 3,setembro,22,Nova Iguaçu,Smart TV 50' 4K,HL1001,1
39,2016,Trim 3,setembro,22,Recife,Smart TV LED Full HD 55',HL1008,4
749,2016,Trim 3,setembro,22,Rio de Janeiro,Moto Z,HL1020,4
700,2016,Trim 3,setembro,22,Salvador,iPhone XS,HL1019,3
170,2016,Trim 3,setembro,22,Salvador,Moto G7,HL1009,3
34,2016,Trim 3,setembro,22,Salvador,Moto Z,HL1020,4
140,2016,Trim 3,setembro,22,São Paulo,Câmera Digital Sony Cyber,HL1015,1
111,2016,Trim 3,setembro,22,São Paulo,Smart TV 50' 4K,HL1001,2
257,2016,Trim 3,setembro,23,Campinas,Câmera Digital Rebel T6,HL1005,2
639,2016,Trim 3,setembro,23,Campinas,Smart Watch MI,HL1018,5
812,2016,Trim 3,setembro,23,Curitiba,Câmera Digital Rebel T6,HL1005,3
687,2016,Trim 3,setembro,23,Fortaleza,Câmera Digital Rebel T6,HL1005,5
75,2016,Trim 3,setembro,23,Guarulhos,Câmera Digital Rebel T6,HL1005,5
361,2016,Trim 3,setembro,23,Porto Alegre,Inspiron 15,HL1007,4
237,2016,Trim 3,setembro,23,Salvador,Galaxy S8,HL1021,4
429,2016,Trim 3,setembro,23,São Paulo,Câmera Digital Rebel T6,HL1005,3
49,2016,Trim 3,setembro,23,São Paulo,Câmera Digital Sony Cyber,HL1015,5
69,2016,Trim 3,setembro,23,São Paulo,Galaxy S10,HL1003,5
382,2016,Trim 3,setembro,23,São Paulo,iPhone 7,HL1002,2
617,2016,Trim 3,setembro,23,São Paulo,Moto G7,HL1009,5
506,2016,Trim 3,setembro,24,Belo Horizonte,Smart TV LED Full HD 55',HL1008,4
426,2016,Trim 3,setembro,24,Fortaleza,Moto Z,HL1020,3
366,2016,Trim 3,setembro,24,Fortaleza,TV LED 32',HL1006,4
204,2016,Trim 3,setembro,24,Goiânia,iPhone 7,HL1002,3
172,2016,Trim 3,setembro,24,Goiânia,Moto G7,HL1009,5
166,2016,Trim 3,setembro,24,Porto Alegre,Câmera Digital Rebel T6,HL1005,1
144,2016,Trim 3,setembro,24,Recife,Câmera Digital Sony Cyber,HL1015,2
39,2016,Trim 3,setembro,24,Recife,Galaxy S10,HL1003,2
148,2016,Trim 3,setembro,24,Rio de Janeiro,Aspire 5,HL1024,1
264,2016,Trim 3,setembro,24,Salvador,Câmera Coolpix L340,HL1013,4
583,2016,Trim 3,setembro,24,Salvador,Smart TV 50' 4K,HL1001,2
608,2016,Trim 3,setembro,24,São Paulo,Aspire 5,HL1024,1
114,2016,Trim 3,setembro,24,São Paulo,Câmera Digital Sony Cyber,HL1015,2
79,2016,Trim 3,setembro,24,São Paulo,Moto Z,HL1020,4
450,2016,Trim 3,setembro,24,São Paulo,Smart TV 50' 4K,HL1001,4
514,2016,Trim 3,setembro,25,Curitiba,Smart TV 50' 4K,HL1001,8
471,2016,Trim 3,setembro,25,Fortaleza,Galaxy S8,HL1021,4
354,2016,Trim 3,setembro,25,Fortaleza,Smart TV 75' 4K,HL1017,3
549,2016,Trim 3,setembro,25,Niterói,Smart Watch MI,HL1018,5
733,2016,Trim 3,setembro,25,Porto Alegre,Câmera Digital Sony Cyber,HL1015,2
380,2016,Trim 3,setembro,25,Recife,Samsung Dual Core,HL1023,5
817,2016,Trim 3,setembro,25,Rio de Janeiro,Galaxy S8,HL1021,2
817,2016,Trim 3,setembro,25,Rio de Janeiro,Moto G7,HL1009,5
34,2016,Trim 3,setembro,25,Salvador,Câmera Coolpix L340,HL1013,1
727,2016,Trim 3,setembro,25,Salvador,Câmera Digital Sony Cyber,HL1015,6
772,2016,Trim 3,setembro,25,São Paulo,Câmera Digital Rebel T6,HL1005,4
665,2016,Trim 3,setembro,25,São Paulo,Câmera Digital Sony Cyber,HL1015,5
608,2016,Trim 3,setembro,25,São Paulo,Inspiron 15,HL1007,3
748,2016,Trim 3,setembro,25,São Paulo,Samsung Dual Core,HL1023,4
202,2016,Trim 3,setembro,25,São Paulo,Smart TV 50' 4K,HL1001,1
1053,2016,Trim 3,setembro,25,São Paulo,Smart TV LED Full HD 55',HL1008,10
511,2016,Trim 3,setembro,26,Campinas,Câmera Digital Rebel T6,HL1005,4
563,2016,Trim 3,setembro,26,Campinas,Dell G7,HL1012,3
271,2016,Trim 3,setembro,26,Curitiba,Câmera Coolpix L340,HL1013,4
354,2016,Trim 3,setembro,26,Fortaleza,Moto G7,HL1009,3
98,2016,Trim 3,setembro,26,Guarulhos,Inspiron 15,HL1007,4
392,2016,Trim 3,setembro,26,Guarulhos,Smart TV LED Full HD 55',HL1008,1
575,2016,Trim 3,setembro,26,Nova Iguaçu,TV LED 32',HL1006,3
624,2016,Trim 3,setembro,26,Porto Alegre,Moto G7,HL1009,4
1426,2016,Trim 3,setembro,26,Porto Alegre,Smart Watch MI,HL1018,12
370,2016,Trim 3,setembro,26,Recife,Câmera Digital Sony Cyber,HL1015,4
752,2016,Trim 3,setembro,26,Recife,Smart TV LED Full HD 55',HL1008,5
769,2016,Trim 3,setembro,26,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,6
3,2016,Trim 3,setembro,26,Rio de Janeiro,Galaxy S8,HL1021,1
148,2016,Trim 3,setembro,26,Rio de Janeiro,iPhone 6S,HL1010,3
499,2016,Trim 3,setembro,26,Rio de Janeiro,Smart TV LED Full HD 55',HL1008,2
140,2016,Trim 3,setembro,26,São Paulo,Galaxy S8,HL1021,2
608,2016,Trim 3,setembro,26,São Paulo,Smart TV 50' 4K,HL1001,5
626,2016,Trim 3,setembro,27,Belo Horizonte,Inspiron 15,HL1007,3
581,2016,Trim 3,setembro,27,Belo Horizonte,TV LED 32',HL1006,2
150,2016,Trim 3,setembro,27,Campinas,Câmera Digital Sony Cyber,HL1015,3
722,2016,Trim 3,setembro,27,Campinas,Inspiron 15,HL1007,1
439,2016,Trim 3,setembro,27,Campinas,iPhone 6S,HL1010,1
419,2016,Trim 3,setembro,27,Curitiba,Aspire 5,HL1024,3
445,2016,Trim 3,setembro,27,Fortaleza,Câmera Digital Sony Cyber,HL1015,5
458,2016,Trim 3,setembro,27,Fortaleza,Smart TV LED Full HD 55',HL1008,2
225,2016,Trim 3,setembro,27,Goiânia,iPhone 6S,HL1010,2
690,2016,Trim 3,setembro,27,Nova Iguaçu,iPhone 7,HL1002,3
218,2016,Trim 3,setembro,27,Porto Alegre,iPhone 6S,HL1010,2
144,2016,Trim 3,setembro,27,Recife,Câmera Digital Sony Cyber,HL1015,3
322,2016,Trim 3,setembro,27,Recife,TV LED 32',HL1006,1
625,2016,Trim 3,setembro,27,Rio de Janeiro,Smart TV 50' 4K,HL1001,3
742,2016,Trim 3,setembro,28,Belo Horizonte,Smart Watch MI,HL1018,3
447,2016,Trim 3,setembro,28,Campinas,Moto G7,HL1009,1
95,2016,Trim 3,setembro,28,Curitiba,Smart TV 50' 4K,HL1001,2
394,2016,Trim 3,setembro,28,Curitiba,TV LED 32',HL1006,4
621,2016,Trim 3,setembro,28,Fortaleza,Câmera Digital Rebel T6,HL1005,4
802,2016,Trim 3,setembro,28,Fortaleza,Smart TV 50' 4K,HL1001,5
681,2016,Trim 3,setembro,28,Nova Iguaçu,Galaxy S8,HL1021,2
841,2016,Trim 3,setembro,28,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,7
248,2016,Trim 3,setembro,28,Rio de Janeiro,Smart TV 50' 4K,HL1001,2
692,2016,Trim 3,setembro,28,Salvador,Câmera Digital Rebel T6,HL1005,5
728,2016,Trim 3,setembro,28,São Paulo,Câmera Digital Rebel T6,HL1005,4
1058,2016,Trim 3,setembro,28,São Paulo,Câmera Digital Sony Cyber,HL1015,3
406,2016,Trim 3,setembro,28,São Paulo,Galaxy S8,HL1021,2
540,2016,Trim 3,setembro,28,São Paulo,iPhone 6S,HL1010,4
698,2016,Trim 3,setembro,28,São Paulo,Moto Z,HL1020,2
617,2016,Trim 3,setembro,28,São Paulo,Samsung Dual Core,HL1023,5
196,2016,Trim 3,setembro,28,São Paulo,Smart TV 50' 4K,HL1001,1
751,2016,Trim 3,setembro,29,Curitiba,Inspiron 15,HL1007,2
553,2016,Trim 3,setembro,29,Fortaleza,Smart Watch MI,HL1018,1
738,2016,Trim 3,setembro,29,Goiânia,Câmera Coolpix L340,HL1013,5
821,2016,Trim 3,setembro,29,Goiânia,iPhone XS,HL1019,5
815,2016,Trim 3,setembro,29,Goiânia,Smart TV 50' 4K,HL1001,2
226,2016,Trim 3,setembro,29,Rio de Janeiro,Aspire 5,HL1024,1
462,2016,Trim 3,setembro,29,Rio de Janeiro,Câmera Digital Sony Cyber,HL1015,2
749,2016,Trim 3,setembro,29,Rio de Janeiro,iPhone 6S,HL1010,4
680,2016,Trim 3,setembro,29,Rio de Janeiro,Moto G7,HL1009,6
52,2016,Trim 3,setembro,29,Rio de Janeiro,Samsung Dual Core,HL1023,1
625,2016,Trim 3,setembro,29,Rio de Janeiro,Smart TV LED Full HD 55',HL1008,1
559,2016,Trim 3,setembro,29,Salvador,Galaxy S8,HL1021,3
1324,2016,Trim 3,setembro,29,São Paulo,Aspire 5,HL1024,8
111,2016,Trim 3,setembro,29,São Paulo,Câmera Digital Rebel T6,HL1005,3
683,2016,Trim 3,setembro,29,São Paulo,Câmera Digital Sony Cyber,HL1015,5
57,2016,Trim 3,setembro,29,São Paulo,Moto G7,HL1009,5
540,2016,Trim 3,setembro,29,São Paulo,Moto Z,HL1020,4
209,2016,Trim 3,setembro,29,São Paulo,Samsung Dual Core,HL1023,3
424,2016,Trim 3,setembro,29,São Paulo,Smart Watch MI,HL1018,4
709,2016,Trim 3,setembro,30,Campinas,Galaxy S8,HL1021,1
271,2016,Trim 3,setembro,30,Curitiba,Galaxy S8,HL1021,3
471,2016,Trim 3,setembro,30,Fortaleza,Smart TV LED Full HD 55',HL1008,2
341,2016,Trim 3,setembro,30,Guarulhos,iPhone 7,HL1002,2
142,2016,Trim 3,setembro,30,Guarulhos,Smart TV LED Full HD 55',HL1008,4
51,2016,Trim 3,setembro,30,Nova Iguaçu,Smart TV 50' 4K,HL1001,2
768,2016,Trim 3,setembro,30,Recife,Smart TV LED Full HD 55',HL1008,3
16,2016,Trim 3,setembro,30,Salvador,Inspiron 15,HL1007,1
164,2016,Trim 3,setembro,30,Salvador,TV LED 32',HL1006,2
408,2016,Trim 3,setembro,30,São Paulo,Câmera Coolpix L340,HL1013,3
650,2016,Trim 3,setembro,30,São Paulo,Moto G7,HL1009,2
53,2016,Trim 3,setembro,30,São Paulo,Smart Watch MI,HL1018,2
21,2016,Trim 4,outubro,1,Belo Horizonte,Moto Z,HL1020,4
154,2016,Trim 4,outubro,1,Belo Horizonte,Samsung Dual Core,HL1023,5
249,2016,Trim 4,outubro,1,Guarulhos,iPhone 6S,HL1010,4
200,2016,Trim 4,outubro,1,Porto Alegre,Câmera Digital Sony Cyber,HL1015,4
376,2016,Trim 4,outubro,1,Recife,Moto G7,HL1009,2
284,2016,Trim 4,outubro,1,Rio de Janeiro,Câmera Coolpix L340,HL1013,5
377,2016,Trim 4,outubro,1,Rio de Janeiro,Smart TV LED Full HD 55',HL1008,3
481,2016,Trim 4,outubro,1,Salvador,Galaxy S8,HL1021,3
753,2016,Trim 4,outubro,1,São Paulo,TV LED 32',HL1006,1
329,2016,Trim 4,outubro,2,Campinas,Moto G7,HL1009,2
426,2016,Trim 4,outubro,2,Fortaleza,Câmera Digital Sony Cyber,HL1015,4
504,2016,Trim 4,outubro,2,Fortaleza,Moto G7,HL1009,5
225,2016,Trim 4,outubro,2,Goiânia,Câmera Digital Sony Cyber,HL1015,4
47,2016,Trim 4,outubro,2,Guarulhos,Câmera Digital Rebel T6,HL1005,4
74,2016,Trim 4,outubro,2,Guarulhos,Dell G7,HL1012,5
78,2016,Trim 4,outubro,2,Nova Iguaçu,Moto G7,HL1009,4
492,2016,Trim 4,outubro,2,Rio de Janeiro,Galaxy S10,HL1003,3
817,2016,Trim 4,outubro,2,Rio de Janeiro,iPhone XS,HL1019,2
692,2016,Trim 4,outubro,2,Salvador,Smart TV LED Full HD 55',HL1008,3
748,2016,Trim 4,outubro,2,São Paulo,Galaxy S8,HL1021,2
731,2016,Trim 4,outubro,2,São Paulo,Moto G7,HL1009,7
85,2016,Trim 4,outubro,3,Curitiba,Câmera Coolpix L340,HL1013,3
419,2016,Trim 4,outubro,3,Curitiba,Moto G7,HL1009,2
480,2016,Trim 4,outubro,3,Fortaleza,Galaxy J8,HL1014,1
363,2016,Trim 4,outubro,3,Fortaleza,Moto Z,HL1020,4
605,2016,Trim 4,outubro,3,Goiânia,Samsung Dual Core,HL1023,4
614,2016,Trim 4,outubro,3,Goiânia,Smart TV 50' 4K,HL1001,2
126,2016,Trim 4,outubro,3,Guarulhos,Câmera Digital Rebel T6,HL1005,1
282,2016,Trim 4,outubro,3,Nova Iguaçu,Aspire 5,HL1024,4
489,2016,Trim 4,outubro,3,Porto Alegre,Aspire 5,HL1024,2
592,2016,Trim 4,outubro,3,Porto Alegre,Galaxy S10,HL1003,2
537,2016,Trim 4,outubro,3,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,4
450,2016,Trim 4,outubro,3,São Paulo,Câmera Digital Rebel T6,HL1005,2
312,2016,Trim 4,outubro,3,São Paulo,Câmera Digital Sony Cyber,HL1015,2
665,2016,Trim 4,outubro,3,São Paulo,Samsung Dual Core,HL1023,5
714,2016,Trim 4,outubro,4,Curitiba,Moto Z,HL1020,3
705,2016,Trim 4,outubro,4,Curitiba,Smart TV 50' 4K,HL1001,2
217,2016,Trim 4,outubro,4,Curitiba,Smart TV LED Full HD 55',HL1008,4
759,2016,Trim 4,outubro,4,Goiânia,Moto G7,HL1009,2
41,2016,Trim 4,outubro,4,Guarulhos,Câmera Digital Rebel T6,HL1005,1
417,2016,Trim 4,outubro,4,Guarulhos,Inspiron 15,HL1007,5
372,2016,Trim 4,outubro,4,Guarulhos,Smart Watch MI,HL1018,4
135,2016,Trim 4,outubro,4,Niterói,iPhone 7,HL1002,2
648,2016,Trim 4,outubro,4,Niterói,Smart TV LED Full HD 55',HL1008,2
768,2016,Trim 4,outubro,4,Recife,Smart TV 50' 4K,HL1001,1
99,2016,Trim 4,outubro,4,Rio de Janeiro,iPhone XS,HL1019,4
389,2016,Trim 4,outubro,4,São Paulo,Aspire 5,HL1024,5
406,2016,Trim 4,outubro,4,São Paulo,Câmera Coolpix L340,HL1013,1
196,2016,Trim 4,outubro,4,São Paulo,iPhone 7,HL1002,3
1380,2016,Trim 4,outubro,4,São Paulo,Smart TV 50' 4K,HL1001,6
123,2016,Trim 4,outubro,5,Belo Horizonte,Smart TV 50' 4K,HL1001,2
23,2016,Trim 4,outubro,5,Belo Horizonte,TV LED 32',HL1006,1
562,2016,Trim 4,outubro,5,Goiânia,Aspire 5,HL1024,5
184,2016,Trim 4,outubro,5,Guarulhos,iPhone 7,HL1002,2
434,2016,Trim 4,outubro,5,Niterói,Smart Watch MI,HL1018,3
402,2016,Trim 4,outubro,5,Nova Iguaçu,Câmera Digital Sony Cyber,HL1015,4
595,2016,Trim 4,outubro,5,Recife,Dell G7,HL1012,2
462,2016,Trim 4,outubro,5,Rio de Janeiro,Smart Watch MI,HL1018,5
617,2016,Trim 4,outubro,5,São Paulo,Galaxy S10,HL1003,4
406,2016,Trim 4,outubro,5,São Paulo,iPhone 7,HL1002,2
641,2016,Trim 4,outubro,5,São Paulo,Moto G7,HL1009,2
69,2016,Trim 4,outubro,5,São Paulo,Smart TV LED Full HD 55',HL1008,4
357,2016,Trim 4,outubro,6,Belo Horizonte,Câmera Digital Rebel T6,HL1005,3
422,2016,Trim 4,outubro,6,Campinas,iPhone 7,HL1002,4
758,2016,Trim 4,outubro,6,Curitiba,Smart Watch MI,HL1018,5
366,2016,Trim 4,outubro,6,Fortaleza,Aspire 5,HL1024,2
177,2016,Trim 4,outubro,6,Goiânia,Samsung Dual Core,HL1023,1
669,2016,Trim 4,outubro,6,Porto Alegre,Dell G7,HL1012,5
322,2016,Trim 4,outubro,6,Recife,iPad 32GB Wifi,HL1022,2
672,2016,Trim 4,outubro,6,Recife,Smart TV LED Full HD 55',HL1008,5
28,2016,Trim 4,outubro,6,Rio de Janeiro,Aspire 5,HL1024,5
156,2016,Trim 4,outubro,6,Salvador,Aspire 5,HL1024,3
264,2016,Trim 4,outubro,6,Salvador,iPhone 6S,HL1010,4
114,2016,Trim 4,outubro,6,São Paulo,iPhone 7,HL1002,3
852,2016,Trim 4,outubro,6,São Paulo,Moto G7,HL1009,5
105,2016,Trim 4,outubro,6,São Paulo,Moto Z,HL1020,5
786,2016,Trim 4,outubro,7,Belo Horizonte,Câmera Digital Rebel T6,HL1005,1
631,2016,Trim 4,outubro,7,Belo Horizonte,Samsung Dual Core,HL1023,5
445,2016,Trim 4,outubro,7,Fortaleza,Smart TV LED Full HD 55',HL1008,4
277,2016,Trim 4,outubro,7,Recife,Moto G7,HL1009,4
134,2016,Trim 4,outubro,7,Rio de Janeiro,Galaxy S8,HL1021,1
571,2016,Trim 4,outubro,7,Rio de Janeiro,Samsung Dual Core,HL1023,4
443,2016,Trim 4,outubro,7,Rio de Janeiro,Smart TV 50' 4K,HL1001,4
55,2016,Trim 4,outubro,7,São Paulo,Smart TV 50' 4K,HL1001,2
196,2016,Trim 4,outubro,7,São Paulo,Smart TV LED Full HD 55',HL1008,2
793,2016,Trim 4,outubro,8,Campinas,Smart TV 75' 4K,HL1017,1
85,2016,Trim 4,outubro,8,Curitiba,Inspiron 15,HL1007,5
533,2016,Trim 4,outubro,8,Curitiba,Smart TV 50' 4K,HL1001,5
740,2016,Trim 4,outubro,8,Fortaleza,Smart Watch MI,HL1018,3
274,2016,Trim 4,outubro,8,Goiânia,iPhone 6S,HL1010,2
229,2016,Trim 4,outubro,8,Guarulhos,Câmera Digital Sony Cyber,HL1015,1
711,2016,Trim 4,outubro,8,Nova Iguaçu,Moto G7,HL1009,5
165,2016,Trim 4,outubro,8,Recife,iPhone XS,HL1019,1
513,2016,Trim 4,outubro,8,Recife,Smart Watch MI,HL1018,2
194,2016,Trim 4,outubro,8,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,5
259,2016,Trim 4,outubro,8,Rio de Janeiro,Dell G7,HL1012,5
34,2016,Trim 4,outubro,8,Salvador,Câmera Digital Rebel T6,HL1005,2
752,2016,Trim 4,outubro,8,Salvador,Câmera Digital Sony Cyber,HL1015,4
170,2016,Trim 4,outubro,8,Salvador,Smart Watch MI,HL1018,3
55,2016,Trim 4,outubro,8,São Paulo,Dell G7,HL1012,2
319,2016,Trim 4,outubro,8,São Paulo,Smart TV 50' 4K,HL1001,1
683,2016,Trim 4,outubro,8,São Paulo,Smart TV LED Full HD 55',HL1008,3
406,2016,Trim 4,outubro,8,São Paulo,Tablet M10 Android,HL1011,3
379,2016,Trim 4,outubro,9,Belo Horizonte,Inspiron 15,HL1007,1
413,2016,Trim 4,outubro,9,Belo Horizonte,iPhone XS,HL1019,5
430,2016,Trim 4,outubro,9,Belo Horizonte,Smart TV LED Full HD 55',HL1008,2
412,2016,Trim 4,outubro,9,Curitiba,iPhone 6S,HL1010,2
738,2016,Trim 4,outubro,9,Goiânia,Inspiron 15,HL1007,3
211,2016,Trim 4,outubro,9,Guarulhos,Smart Watch MI,HL1018,1
654,2016,Trim 4,outubro,9,Niterói,Inspiron 15,HL1007,4
213,2016,Trim 4,outubro,9,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,4
652,2016,Trim 4,outubro,9,Rio de Janeiro,Inspiron 15,HL1007,1
583,2016,Trim 4,outubro,9,Salvador,Dell G7,HL1012,2
105,2016,Trim 4,outubro,9,São Paulo,Inspiron 15,HL1007,1
683,2016,Trim 4,outubro,9,São Paulo,iPad 32GB Wifi,HL1022,1
456,2016,Trim 4,outubro,10,Belo Horizonte,Smart Watch MI,HL1018,1
431,2016,Trim 4,outubro,10,Campinas,Smart TV 50' 4K,HL1001,3
637,2016,Trim 4,outubro,10,Curitiba,Inspiron 15,HL1007,5
337,2016,Trim 4,outubro,10,Guarulhos,Câmera Digital Rebel T6,HL1005,4
280,2016,Trim 4,outubro,10,Niterói,Galaxy J8,HL1014,4
248,2016,Trim 4,outubro,10,Rio de Janeiro,Apple Watch,HL1004,5
462,2016,Trim 4,outubro,10,Rio de Janeiro,Samsung Dual Core,HL1023,2
799,2016,Trim 4,outubro,10,Salvador,Aspire 5,HL1024,5
761,2016,Trim 4,outubro,10,Salvador,iPhone XS,HL1019,4
82,2016,Trim 4,outubro,10,Salvador,Moto G7,HL1009,5
775,2016,Trim 4,outubro,10,Salvador,Smart TV 50' 4K,HL1001,3
737,2016,Trim 4,outubro,10,São Paulo,Câmera Digital Rebel T6,HL1005,5
698,2016,Trim 4,outubro,10,São Paulo,Câmera Digital Sony Cyber,HL1015,2
641,2016,Trim 4,outubro,10,São Paulo,Dell G7,HL1012,2
114,2016,Trim 4,outubro,10,São Paulo,TV LED 32',HL1006,2
123,2016,Trim 4,outubro,11,Belo Horizonte,Câmera Digital Sony Cyber,HL1015,5
635,2016,Trim 4,outubro,11,Campinas,Smart TV 50' 4K,HL1001,1
703,2016,Trim 4,outubro,11,Fortaleza,Smart TV 50' 4K,HL1001,1
504,2016,Trim 4,outubro,11,Fortaleza,Smart TV LED Full HD 55',HL1008,3
337,2016,Trim 4,outubro,11,Guarulhos,Aspire 5,HL1024,1
746,2016,Trim 4,outubro,11,Porto Alegre,Galaxy S10,HL1003,4
325,2016,Trim 4,outubro,11,Rio de Janeiro,Smart Watch MI,HL1018,3
765,2016,Trim 4,outubro,11,Salvador,Galaxy S10,HL1003,2
541,2016,Trim 4,outubro,11,São Paulo,Inspiron 15,HL1007,4
190,2016,Trim 4,outubro,12,Belo Horizonte,Aspire 5,HL1024,2
618,2016,Trim 4,outubro,12,Campinas,iPhone XS,HL1019,1
345,2016,Trim 4,outubro,12,Curitiba,iPhone 6S,HL1010,5
217,2016,Trim 4,outubro,12,Curitiba,Smart TV 50' 4K,HL1001,4
553,2016,Trim 4,outubro,12,Fortaleza,Smart TV 50' 4K,HL1001,3
352,2016,Trim 4,outubro,12,Goiânia,Câmera Coolpix L340,HL1013,3
88,2016,Trim 4,outubro,12,Goiânia,iPhone 7,HL1002,5
307,2016,Trim 4,outubro,12,Nova Iguaçu,Galaxy S8,HL1021,4
375,2016,Trim 4,outubro,12,Porto Alegre,Câmera Digital Rebel T6,HL1005,5
112,2016,Trim 4,outubro,12,Porto Alegre,Moto Z,HL1020,3
616,2016,Trim 4,outubro,12,Recife,Samsung Dual Core,HL1023,1
11,2016,Trim 4,outubro,12,Rio de Janeiro,Câmera Digital Sony Cyber,HL1015,1
275,2016,Trim 4,outubro,12,Salvador,Câmera Digital Sony Cyber,HL1015,5
303,2016,Trim 4,outubro,12,São Paulo,Moto G7,HL1009,3
498,2016,Trim 4,outubro,13,Curitiba,Smart TV LED Full HD 55',HL1008,1
85,2016,Trim 4,outubro,13,Curitiba,TV LED 32',HL1006,2
87,2016,Trim 4,outubro,13,Fortaleza,Galaxy J8,HL1014,4
445,2016,Trim 4,outubro,13,Fortaleza,iPhone 7,HL1002,1
425,2016,Trim 4,outubro,13,Goiânia,Galaxy S8,HL1021,1
307,2016,Trim 4,outubro,13,Nova Iguaçu,Moto Z,HL1020,4
132,2016,Trim 4,outubro,13,Porto Alegre,Galaxy S8,HL1021,3
652,2016,Trim 4,outubro,13,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,4
134,2016,Trim 4,outubro,13,Rio de Janeiro,Inspiron 15,HL1007,1
448,2016,Trim 4,outubro,13,Salvador,Smart TV LED Full HD 55',HL1008,1
186,2016,Trim 4,outubro,14,Belo Horizonte,Moto G7,HL1009,4
533,2016,Trim 4,outubro,14,Curitiba,Smart TV LED Full HD 55',HL1008,3
503,2016,Trim 4,outubro,14,Fortaleza,Aspire 5,HL1024,4
163,2016,Trim 4,outubro,14,Fortaleza,Galaxy J8,HL1014,3
461,2016,Trim 4,outubro,14,Fortaleza,Moto G7,HL1009,1
637,2016,Trim 4,outubro,14,Fortaleza,Samsung Dual Core,HL1023,7
524,2016,Trim 4,outubro,14,Guarulhos,Galaxy S10,HL1003,2
294,2016,Trim 4,outubro,14,Guarulhos,Smart TV LED Full HD 55',HL1008,1
592,2016,Trim 4,outubro,14,Porto Alegre,Smart TV 50' 4K,HL1001,3
321,2016,Trim 4,outubro,14,Recife,Dell G7,HL1012,4
652,2016,Trim 4,outubro,14,Rio de Janeiro,Smart TV LED Full HD 55',HL1008,1
646,2016,Trim 4,outubro,14,Salvador,Inspiron 15,HL1007,3
583,2016,Trim 4,outubro,14,Salvador,TV LED 32',HL1006,4
408,2016,Trim 4,outubro,14,São Paulo,Aspire 5,HL1024,5
55,2016,Trim 4,outubro,14,São Paulo,Câmera Digital Sony Cyber,HL1015,5
737,2016,Trim 4,outubro,14,São Paulo,Inspiron 15,HL1007,5
797,2016,Trim 4,outubro,14,São Paulo,iPhone 7,HL1002,4
618,2016,Trim 4,outubro,15,Campinas,Galaxy S10,HL1003,1
66,2016,Trim 4,outubro,15,Curitiba,Smart TV 50' 4K,HL1001,4
345,2016,Trim 4,outubro,15,Curitiba,Smart TV LED Full HD 55',HL1008,1
740,2016,Trim 4,outubro,15,Fortaleza,Moto G7,HL1009,4
369,2016,Trim 4,outubro,15,Guarulhos,Galaxy J8,HL1014,5
600,2016,Trim 4,outubro,15,Guarulhos,iPhone XS,HL1019,4
452,2016,Trim 4,outubro,15,Nova Iguaçu,Câmera Digital Rebel T6,HL1005,5
197,2016,Trim 4,outubro,15,Recife,Moto G7,HL1009,1
694,2016,Trim 4,outubro,15,Rio de Janeiro,Galaxy S8,HL1021,5
20,2016,Trim 4,outubro,15,Rio de Janeiro,iPhone XS,HL1019,3
578,2016,Trim 4,outubro,15,Rio de Janeiro,Smart Watch Galaxy,HL1016,7
232,2016,Trim 4,outubro,15,Salvador,Smart TV LED Full HD 55',HL1008,3
382,2016,Trim 4,outubro,15,São Paulo,Galaxy S8,HL1021,5
140,2016,Trim 4,outubro,15,São Paulo,Inspiron 15,HL1007,5
772,2016,Trim 4,outubro,15,São Paulo,Moto G7,HL1009,2
